Timestamp,Age,Gender,City,Country,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR, Yearly brutto salary (without bonus and stocks) in EUR1 ,, IUSD , Yearly brutto salary ,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,–°ontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",,,,,,,,,,,,,Your main technology , programming language,,,,
24-11-2020 11:14,26,Male,Munich,Germany,Software Engineer,5,3,Senior,TypeScript,"Kotlin, Javascript / Typescript",80000," Ä 80,000.00 "," $85,064.00 ",1.0633,$80K-$100K ,5000,75000,10000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,,,,,,,,,,,,,,TypeScript,,,,,
24-11-2020 11:14,26,Male,Berlin,Germany,Backend Developer,7,4,Senior,Ruby,,80000," Ä 80,000.00 "," $85,064.00 ",,$80K-$100K ,,82000,5000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,Ruby,,,,,
24-11-2020 11:14,29,Male,Berlin,Germany,Software Engineer,12,6,Lead,Javascript / Typescript,"Javascript / Typescript, Docker",120000," Ä 1,20,000.00 "," $1,27,596.00 ",,$100K-$200K ,120000,100000,100000,30,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes,,,,,,,,,,,,,,,Javascript , Typescript,,,,
24-11-2020 11:15,28,Male,Berlin,Germany,Frontend Developer,4,1,Junior,Javascript,,54000," Ä 54,000.00 "," $57,418.20 ",,$50K-$60K ,,,,24,Full-time employee,Unlimited contract,English,51-100,Startup,No,,,,,,,,,,,,,,,Javascript,,,,,
24-11-2020 11:15,37,Male,Berlin,Germany,Backend Developer,17,6,Senior,C# .NET,".NET, SQL, AWS, Docker",62000," Ä 62,000.00 "," $65,924.60 ",,$60K-$70K ,,62000,,29,Full-time employee,Unlimited contract,English,101-1000,Product,No,,,,,,,,,,,,,,,C# .NET,,,,,
24-11-2020 11:15,32,Male,Berlin,Germany,DevOps,5,1,Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker",76000," Ä 76,000.00 "," $80,810.80 ",,$80K-$100K ,5000,76000,5000,30,Full-time employee,Unlimited contract,English,50-60,Startup,No,,,,,,,,,,,,,,,AWS,,,,,
24-11-2020 11:16,37,Male,Berlin,Germany,Frontend Developer,6,0.4,Middle,Javascript,,57000," Ä 57,000.00 "," $60,608.10 ",,$60K-$70K ,,,,24,Full-time employee,Unlimited contract,English,50-60,Product,No,,,,,,,,,,,,,,,Javascript,,,,,
24-11-2020 11:16,24,Male,Berlin,Germany,Frontend Developer,5,1,Senior,Typescript,Javascript / Typescript,65000," Ä 65,000.00 "," $69,114.50 ",,$60K-$70K ,,65000,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,0,600,,,,,,,,,,,,,Typescript,,,,,
24-11-2020 11:17,29,Male,Berlin,Germany,Backend Developer,8,2,Senior,PHP,"SQL, AWS, Docker",56000," Ä 56,000.00 "," $59,544.80 ",,$50K-$60K ,,55000,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,30,,,,,,,,,,,,,,PHP,,,,,
24-11-2020 11:17,35,Male,Berlin,Germany,Software Engineer,15,3,Lead,Java,,95000," Ä 95,000.00 "," $1,01,013.50 ",,$100K-$200K ,,90000,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0,,,,,,,,,,,,,,Java,,,,,
